DATETIME,X,Y,Z
115710584,3,0.07,9.72
115710584,0.54,0.00,9.69
115710586,0.80,0.09,9.69
115710586,0.82,0.08,9.70
115710588,0.63,0.09,9.68
115710588,0.48,-0.02,9.76
115710590,0.63,0.02,9.67
115710591,0.80,0.16,9.69
115710592,0.54,-0.04,9.59
115710592,0.57,-0.02,9.67
115710594,0.77,0.02,9.66
115710595,0.85,0.12,9.63
115710596,0.69,0.06,9.59
115710597,0.45,0.02,9.70
115710598,0.51,-0.03,9.78
115710600,0.70,0.05,9.80
115710600,0.78,0.12,9.70
115710602,0.55,0.08,9.69
115710603,0.41,0.05,9.76
115710605,0.80,0.03,9.82
115710605,0.71,0.12,9.72
115710607,0.51,0.06,9.67
115710607,0.44,0.00,9.73
115710609,0.70,0.08,9.73
115710609,0.84,0.13,9.73
115710611,0.70,0.06,9.72
115710611,0.45,0.06,9.65
115710613,0.50,-0.04,9.72
115710613,0.68,0.03,9.70
115710615,0.79,0.10,9.63
115710615,0.48,0.06,9.72
115710617,0.56,-0.02,9.72
115710618,0.84,0.04,9.73
115710620,0.78,0.09,9.74
115710621,0.55,0.07,9.72
115710622,0.44,-0.02,9.77
115710622,0.65,0.01,9.69
115710624,0.82,0.11,9.67
115710624,0.74,0.13,9.63
115710626,0.52,0.06,9.67
115710626,0.52,-0.01,9.75
115710629,0.81,0.08,9.73
115710629,0.68,0.11,9.67
115710631,0.47,0.04,9.78
115710631,0.52,0.03,9.73
115710633,0.73,0.09,9.78
115710633,0.80,0.17,9.73
115710635,0.64,0.07,9.65
115710635,0.45,-0.04,9.71
115710637,0.53,-0.01,9.71
115710638,0.82,0.13,9.72
115710640,0.76,0.16,9.69
115710640,0.44,-0.04,9.66
115710641,0.65,-0.01,9.70
115710641,0.87,0.09,9.68
115710644,0.68,0.15,9.63
115710644,0.45,0.05,9.67
115710645,0.49,-0.01,9.70
115710646,0.76,0.12,9.70
115710648,0.85,0.11,9.74
115710648,0.73,0.09,9.68
115710650,0.49,-0.03,9.75
115710651,0.56,-0.03,9.67
115710652,0.80,0.11,9.73
115710652,0.57,0.08,9.78
115710654,0.48,-0.01,9.73
115710654,0.65,0.06,9.77
115710657,0.87,0.07,9.72
115710657,0.80,0.13,9.67
115710659,0.48,0.05,9.65
115710659,0.43,0.03,9.70
115710661,0.66,0.01,9.71
115710661,0.81,0.05,9.73
115710663,0.66,0.03,9.80
115710663,0.57,0.02,9.62
115710665,0.75,0.07,9.71
115710665,0.74,0.12,9.81
115710667,0.61,0.09,9.81
