DATETIME,X,Y,Z
154957512, ,-0.29,9.88
154957513, -0.39,-0.00,9.86
154957518, 0.14,0.03,10.19
154957520, 0.42,-0.19,10.40
154957523, 0.47,-0.47,10.44
154957524, 0.28,-0.58,10.35
154957526, 0.02,-0.59,10.12
154957529, -0.42,-0.32,9.78
154957532, -0.04,0.05,10.16
154957535, 0.30,-0.04,10.42
154957535, 0.46,-0.31,10.41
154957538, 0.15,-0.70,10.29
154957539, -0.12,-0.62,10.05
154957543, -0.38,-0.40,9.88
154957545, -0.41,-0.18,9.87
154957545, -0.19,0.05,10.00
154957547, 0.37,-0.09,10.31
154957551, 0.53,-0.37,10.41
154957553, 0.09,-0.67,10.24
154957556, -0.21,-0.55,10.08
154957558, -0.36,-0.02,9.85
154957558, -0.11,0.04,10.01
154957562, 0.22,0.00,10.24
154957564, 0.44,-0.21,10.48
154957568, 0.51,-0.45,10.48
154957571, 0.30,-0.68,10.36
154957571, -0.26,-0.52,9.93
154957574, -0.25,0.05,9.93
154957576, 0.05,0.11,10.09
154957579, 0.35,-0.06,10.30
154957582, 0.38,-0.51,10.37
154957582, 0.20,-0.65,10.24
154957584, -0.11,-0.58,10.11
154957588, -0.35,-0.38,9.87
154957590, -0.42,-0.11,9.85
154957592, 0.10,0.08,10.16
154957593, 0.42,-0.13,10.32
154957595, 0.35,-0.58,10.45
154957599, 0.00,-0.68,10.26
154957601, -0.42,-0.33,9.98
154957603, -0.39,-0.09,9.99
154957606, -0.12,0.08,10.08
154957607, 0.21,0.01,10.24
154957610, 0.41,-0.24,10.34
154957612, 0.28,-0.63,10.30
154957615, -0.08,-0.64,10.12
154957618, -0.26,-0.52,9.91
154957618, -0.21,0.08,9.99
154957621, 0.33,-0.02,10.26
154957624, 0.47,-0.33,10.36
154957626, 0.43,-0.54,10.42
154957629, 0.17,-0.65,10.28
154957629, -0.12,-0.60,10.11
154957632, -0.41,-0.11,9.89
154957634, -0.19,0.05,9.96
154957637, 0.10,0.06,10.20
154957640, 0.40,-0.11,10.42
154957640, 0.01,-0.66,10.18
154957643, -0.21,-0.48,10.04
154957646, -0.41,-0.23,9.89
154957648, -0.33,-0.06,9.94
154957651, -0.14,0.10,10.13
154957654, 0.44,-0.22,10.36
154957654, 0.52,-0.45,10.41
154957657, 0.30,-0.61,10.30
154957659, -0.02,-0.62,10.07
154957662, -0.21,0.05,10.06
154957665, 0.04,0.05,10.20
154957665, 0.38,-0.04,10.44
154957668, 0.49,-0.35,10.41
154957670, 0.45,-0.53,10.36
154957673, -0.14,-0.57,10.06
154957676, -0.35,-0.39,9.96
